#2,mnemonic,type,mask,opcode,imm,rs2,rs1,rd,func7,func3,opc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C.ADDI,CI,0xe003,0x0001,cimm10,,crs1,crs1,,0,0x13,,s,,0x0,,,[5],Rs1/Rd,,,,,Nzimm[4:0],,,,,0x1,,,"addi, rd, rd, nzimm[5:0]",,Imm[11:0],,,,,,,,,,,,Rs1,,,,,0,,,Rd,,,,,0x13,,,,,,
,C.JAL,CJ,0xe003,0x2001,cimm5,,,cx1,,,0x6f,,s,,0x1,,,Offset[11|4|9:8|10|6|7|3:1|5],,,,,,,,,,,0x1,,,"jal x1,offset[11:1]",,I20,Imm[10:1],,,,,,,,,,I11,Imm[19:12],,,,,,,,Rd,,,,,0x6F,,,,,,
,C.LI,CI,0xe003,0x4001,cimm10,,cx0,crs1,,0,0x13,,s,,0x2,,,[5],Rd,,,,,Imm[4:0],,,,,0x1,,,"addi rd, x0, imm[5:0]",,Imm[11:0],,,,,,,,,,,,Rs1,,,,,0,,,Rd,,,,,0x13,,,,,,
,C.AI16SP,CI,0xef83,0x6101,cimm7,,cx2,cx2,,0,0x13,,s,,0x3,,,[9],2,,,,,Nzimm[4|6|8:7|5],,,,,0x1,,,"addi x2,x2, nzimm[9:4]",,Imm[11:0],,,,,,,,,,,,Rs1,,,,,0,,,Rd,,,,,0x13,,,,,,
,C.LUI,CI,0xe003,0x6001,cimm6,,,crs1,,,0x37,,s,,0x3,,,[17],"Rd!={0,2}",,,,,Nzuimm[16:12],,,,,0x1,,,"lui rd, nzuimm[17:12]",,Imm[31:12],,,,,,,,,,,,,,,,,,,,Rd,,,,,0x37,,,,,,
,C.SRLI,CI,0xec03,0x8001,cimm4,,crs1d,crs1d,0x00,5,0x13,,,,0x4,,,[5],0x0,,rd/rs1’,,,Shamt[4:0],,,,,0x1,,,"srli rd’, rd’, shamt[5:0]",,0x00,,,,,,,shamt,,,,,Rs1,,,,,5,,,Rd,,,,,0x13,,,,,,
,C.SRAI,CI,0xec03,0x8401,cimm4,,crs1d,crs1d,0x20,5,0x13,,,,0x4,,,[5],0x1,,rd/rs1’,,,Shamt[4:0],,,,,0x1,,,"srai rd’, rd’, shamt[5:0]",,0x20,,,,,,,shamt,,,,,Rs1,,,,,5,,,Rd,,,,,0x13,,,,,,
,C.ANDI,CI,0xec03,0x8801,cimm10,,crs1d,crs1d,,7,0x13,,s,,0x4,,,[5],0x2,,rd/rs1’,,,Shamt[4:0],,,,,0x1,,,"andi rd’, rd’, imm[5:0]",,Imm[11:0],,,,,,,,,,,,Rs1,,,,,7,,,Rd,,,,,0x13,,,,,,
,C.SUB,CL,0xfc63,0x8c01,,crs2d,crs1d,crs1d,0x20,0,0x33,,,,0x4,,,0,0x3,,rd/rs1’,,,0x0,,rs2’,,,0x1,,,"sub rd’, rd’, rs2’",,0x20,,,,,,,Rs2,,,,,Rs1,,,,,0,,,Rd,,,,,0x33,,,,,,
,C.XOR,CL,0xfc63,0x8c21,,crs2d,crs1d,crs1d,0x00,4,0x33,,,,0x4,,,0,0x3,,rd/rs1’,,,0x1,,rs2’,,,0x1,,,"xor rd’, rd’, rs2’",,0x00,,,,,,,Rs2,,,,,Rs1,,,,,4,,,Rd,,,,,0x33,,,,,,
